StationCode,saltwater
541STC040,False
541STC042,False
541STC519,False
541STC523,False
541XDMCDP,False
541XDPCCR,False
541XLBCCC,False
541XMRDRR,False
541XMSUSL,False
541XNWHFR,False
541XPSAIA,False
541XROLFA,False
541XSJRPP,False
541XSSASD,False
541XTSAER,False
541XVH132,False
541XWWNCR,False
551ACOEBR,False
551KRAJBP,False
551KRALMW,False
551KRAMAV,False
551LKI010,False
551LKI020,False
551LKI030,False
551LKI040,False
551LKI050,False
551LKI060,False
551MILLCR,False
551WWDAPM,False
551WWDCCC,False
551WWDCCH,False
552HUM010,False
552HUM020,False
552HUM030,False
552KIN010,False
552KIN020,False
552KIN040,False
552KIN050,False
552LEW010,False
552TEN010,False
553KAL010,False
553KAL020,False
553KAL030,False
553KAL040,False
553KAR010,False
553KAR020,False
553KAR030,False
553KAR040,False
554ISA010,False
554ISA020,False
554ISA040,False
554ISA050,False
554ISA060,False
554ISA070,False
554ISA080,False
554ISA090,False
554KER010,False
554KER020,False
554KER030,False
554KER040,False
554KER050,False
554KER060,False
554KER070,False
555SUC010,False
555SUC020,False
555SUC030,False
555TUR010,False
555TUR020,False
555TUR030,False
555TUR040,False
555TUR050,False
555TUR051,False
558CCHSP4,False
558CCR010,False
558CCRSP4,False
558DCR120,False
558DCR178,False
558DER010,False
558DER011,False
558DER020,False
558DER030,False
558DER040,False
558DER050,False
558DER060,False
558EBAR96,False
558ELKSP5,False
558GSDSP6,False
558KAR050,False
558KAR060,False
558KER080,False
558KER090,False
558KER110,False
558KWRSP1,False
558MDCH46,False
558PSR192,False
558SCDSP3,False
558SJRSP2,False
558STJ010,False
558STJ011,False
558STJ020,False
558TRA144,False
558TRAR92,False
558TUR060,False
558TUR070,False
558TUR090,False
558TUR100,False
558TUR110,False
558TUR120,False
558TUR130,False
558WWDAPE,False
603HCH001,False
603HIL001,False
603HOT050,False
603LPC001,False
603LPC002,False
603MAM006,False
603MAM007,False
603MAM008,False
603MAM009,False
603MAM014,False
603RCK002,False
609AMR001,False
609AMR002,False
626LRR001,False
630BUC004,False
630BUC005,False
630EWK001,False
630EWK002,False
630EWK003,False
630RBS006,False
630RBS007,False
630RBS008,False
631LWK003,False
631WWK001,False
631WWK007,False
631WWK008,False
632ECR005,False
633WCR002,False
634TALB01,False
634TALB03,False
634TRTB02,False
634TRTB03,False
637LNG002,False
637SUS001,False
637SUS002,False
637SUS003,False
641BID001,False
641CDR001,False
641CDR002,False
641MIL001,False
641MIL002,False
6N,True
6S,True
713CRNVBD,False
714PLH216,False
715CPVLG1,False
715CPVOD2,False
715CRIDG1,False
715CRIDU1,False
715CRPDDM,False
715CRPVDD,False
715CRSQLK,False
715CRTLI1,False
715TF0091,False
719CVSC52,False
719CVSCOT,False
723ARDP03,False
723ARDP06,False
723ARDP08,False
723ARDP10,False
723ARDP6A,False
723ARGRB1,False
723ARINTL,False
723NRBDRY,False
723NRDP02,False
723NREVHU,False
723NRFGDN,False
723NRGNDN,False
723NROTWM,False
723NRRCD3,False
723NRRCDN,False
725SCSLGH,False
727CRRMD4,False
728SSDNW2,True
728SSGS02,True
728SSGS07,True
728SSGS09,True
801MSC3 ,False
801MSC7 ,False
801MSM5 ,False
801MSS1 ,False
801MSS4 ,False
9N,True
9S,True
AHC-MLS,False
AHC-TWAS-1,False
Am River at Hwy 80,False
B-11,True
B-60,True
B-7,True
B-9,True
B03_AC0,True
B03_AC0OFFSHORE,True
B03_AC225L,True
B03_AC225LOFFSHORE,True
B03_AC225R,True
B03_AC225ROFFSHORE,True
B03_AC25L,True
B03_AC25LOFFSHORE,True
B03_AC25R,True
B03_AC25ROFFSHORE,True
B03_AC75L,True
B03_AC75LOFFSHORE,True
B03_AC75R,True
B03_AC75ROFFSHORE,True
B03_ACU,True
B03_B03W013,True
B03_B03W014,True
B03_B03W015,True
B03_B03W016,True
B03_B03W017,True
B03_B03W018,True
B03_B03W019,True
B03_B03W020,True
B03_B03W021,True
B03_B03W022,True
B03_B03W023,True
B03_B03W024,True
B03_B03W200,True
B03_B03W201,True
B03_B03W202,True
B03_BAY0O,True
B03_BAY0SH,True
B03_BAY100LO,True
B03_BAY100LSH,True
B03_BAY150LO,True
B03_BAY150LSH,True
B03_BAY25LO,True
B03_BAY25LSH,True
B03_BAY50LO,True
B03_BAY50LSH,True
B03_BAYMZO,True
B03_BAYMZSH,True
B03_CORTEZ SHORE,True
B03_CORTEZ SURF,True
B03_KEL10O,True
B03_KEL10SH,True
B03_KEL1100L,True
B03_KEL1100LO,True
B03_KEL1100R,True
B03_KEL1100RO,True
B03_KEL125L,True
B03_KEL125LO,True
B03_KEL125LSH,True
B03_KEL125R,True
B03_KEL125RO,True
B03_KEL125RSH,True
B03_KEL145RO,True
B03_KEL145RSH,True
B03_KEL150LO,True
B03_KEL150LSH,True
B03_KEL1MZ,True
B03_KEL1MZO,True
